N,P,K,temperature,humidity,ph,rainfall,label
147.13,53.72,194.71,30.81,82.29,6.91,1268.03,banana
92.1,49.32,54.04,24.79,60.66,6.43,654.07,chilli
110.51,80.87,120.03,19.46,72.66,5.57,512.32,potato
36.89,37.28,53.58,28.99,61.13,6.51,687.26,groundnut
111.05,75.58,47.75,23.52,59.94,6.64,654.53,tomato
82.25,47.44,84.62,31.16,72.41,6.81,1284.82,turmeric
37.1,44.84,38.51,15.05,43.42,7.01,406.73,chickpea
94.08,41.84,47.4,25.23,65.2,6.86,819.05,cotton
88.19,62.18,81.2,29.05,63.55,6.57,1276.49,turmeric
98.58,65.21,78.1,19.37,69.41,6.34,538.6,tomato
97.37,49.44,47.98,26.08,67.52,6.35,592.51,chilli
119.76,70.07,112.63,20.92,77.24,6.05,481.07,potato
82.08,47.04,34.52,23.91,89.08,5.99,1736.3,rice
60.62,38.87,36.84,29.88,52.08,6.42,940.4,mango
125.56,77.55,128.16,17.8,83.69,5.74,564.32,potato
89.77,65.87,78.26,28.13,76.42,6.75,1183.49,turmeric
21.55,39.84,42.2,27.81,62.81,6.64,595.02,groundnut
33.2,49.86,41.21,25.09,74.76,6.9,709.66,soybean
39.45,62.57,43.09,29.35,52.98,6.61,594.65,groundnut
131.09,45.45,46.82,19.04,82.61,7.06,1626.53,sugarcane
145.32,61.17,66.98,34.03,76.92,6.05,1489.16,sugarcane
129.96,49.02,86.25,28.24,85.59,6.16,1420.49,sugarcane
134.78,46.86,72.69,16.48,76.96,7.18,1295.42,sugarcane
118.36,86.3,134.36,19.22,73.26,5.64,605.43,potato
149.22,64.54,179.68,33.33,89.5,6.58,1490.49,banana
118.9,72.6,67.65,22.78,57.27,6.24,652.77,tomato
102.32,64.15,60.12,22.41,57.15,6.59,532.41,tomato
77.54,38.68,56.07,27.75,83.27,6.14,1608.72,rice
70.84,38.76,42.08,25.46,86.76,6.37,1483.99,rice
31.79,62.82,56.42,21.87,60.94,6.3,537.32,soybean
126.61,64.14,157.45,31.62,91.49,6.88,1225.56,banana
116.56,56.39,45.16,18.33,64.59,6.39,632.3,wheat
108.11,44.72,51.2,22.14,50.71,6.71,757.23,chilli
111.16,50.55,41.46,17.79,39.03,6.92,602.03,wheat
92.16,31.25,32.29,22.62,59.03,6.6,564.97,maize
100.33,34.46,49.91,23.28,50.85,6.65,624.61,wheat
145.56,73.87,138.13,18.1,73.26,6.07,553.52,potato
35.83,50.7,59.92,25.3,59.89,6.44,559.73,soybean
20.61,54.42,48.32,26.81,58.67,6.63,577.43,groundnut
69.29,48.62,41.1,31.53,85.46,5.98,1430.64,rice
31.92,56.2,49.81,30.67,67.36,6.24,558.64,groundnut
30.86,45.83,44.29,24.3,82.58,6.28,641.28,soybean
125.82,94.45,65.66,22.53,57.68,6.63,661.12,tomato
119.15,57.32,65.43,25.13,77.05,6.69,1417.24,sugarcane
99.35,39.64,29.39,19.18,61.12,6.89,602.31,cotton
88.71,40.84,46.83,26.63,71.1,6.67,832.86,cotton
55.01,29.92,36.36,36.0,53.21,7.26,959.17,mango
22.84,53.0,44.43,22.99,78.94,7.04,623.47,soybean
34.31,58.43,49.1,17.93,37.91,6.73,356.36,chickpea
32.9,47.29,38.35,25.76,39.81,7.04,475.57,chickpea
146.71,48.25,188.24,34.62,91.41,7.05,1241.94,banana
53.35,36.69,43.66,29.48,57.14,6.13,1032.55,mango
177.15,63.16,148.21,30.37,92.79,7.33,1073.99,banana
147.24,56.27,62.0,35.5,81.12,7.33,1170.95,sugarcane
161.04,52.54,170.09,34.26,75.18,6.81,1161.47,banana
30.0,42.3,53.01,28.2,55.17,6.74,775.41,groundnut
70.46,32.61,32.94,29.51,48.85,7.84,980.08,mango
109.14,63.07,43.82,18.29,46.81,6.84,803.54,wheat
125.36,56.19,111.28,22.3,83.32,5.4,509.14,potato
60.08,19.38,36.41,26.34,54.37,6.51,852.73,mango
137.12,71.79,72.22,24.38,61.61,6.57,617.78,tomato
88.56,54.27,65.07,27.77,72.26,6.13,744.81,chilli
84.92,56.75,61.94,17.62,69.83,6.78,608.71,onion
65.66,38.26,53.13,30.56,62.84,6.88,875.41,mango
95.71,47.31,56.63,21.97,80.42,6.43,636.29,chilli
124.36,61.73,175.66,17.05,78.96,6.64,1228.74,banana
90.73,42.26,37.25,24.06,70.21,6.51,1379.36,rice
85.02,53.38,51.55,26.97,74.21,5.9,1652.06,rice
80.53,54.33,45.18,23.83,51.55,6.22,537.51,maize
118.68,81.46,143.94,17.65,83.47,5.21,493.94,potato
95.63,38.86,52.08,30.62,73.75,6.09,1179.99,rice
106.48,76.43,106.77,18.53,78.23,6.21,510.7,potato
48.18,30.36,30.56,32.35,78.16,6.28,853.53,mango
37.28,44.47,53.52,24.12,59.8,6.64,719.66,soybean
72.39,49.99,87.66,21.61,66.57,5.87,617.34,onion
28.64,63.38,43.28,25.54,55.1,6.65,690.24,groundnut
94.51,68.05,56.37,20.92,66.2,6.3,653.29,tomato
107.3,55.11,63.93,21.77,75.88,6.73,654.82,tomato
145.12,59.72,172.37,37.84,86.76,6.67,1162.85,banana
26.04,31.17,39.71,20.09,50.43,7.5,381.0,chickpea
148.8,54.32,71.76,34.11,80.19,6.94,1563.39,sugarcane
87.86,84.01,58.06,25.63,63.24,6.36,579.74,tomato
43.58,53.94,42.73,27.08,75.16,6.94,988.42,mango
120.52,58.89,45.6,17.51,58.11,7.35,671.49,wheat
96.74,54.34,79.46,21.5,76.04,6.77,702.0,onion
101.86,49.96,38.85,22.5,57.69,7.19,707.49,cotton
138.51,62.46,58.73,33.39,64.76,6.35,1524.58,sugarcane
86.86,52.94,31.51,23.47,69.75,5.93,1743.51,rice
85.97,63.59,76.54,20.0,68.82,6.28,595.77,onion
123.4,74.52,149.17,18.67,70.08,6.36,528.83,potato
133.58,76.99,141.95,20.52,69.47,6.1,484.09,potato
86.09,32.93,39.03,23.65,52.91,7.32,598.43,cotton
129.38,49.38,50.72,18.29,53.8,7.69,594.44,wheat
121.42,68.22,74.84,26.89,74.36,6.37,1405.56,sugarcane
106.65,74.35,62.29,24.38,71.62,6.27,634.39,tomato
83.66,48.86,67.84,25.47,84.56,5.66,1361.16,turmeric
31.4,54.4,53.34,26.88,59.85,6.6,591.12,groundnut
57.99,35.48,54.45,24.33,61.87,6.65,953.19,mango
109.95,74.46,113.59,22.64,84.09,5.87,519.55,potato
76.34,49.82,67.83,23.38,80.32,6.15,1323.58,turmeric
82.07,56.97,74.89,23.34,66.19,5.98,691.46,onion
107.46,85.37,122.2,14.85,63.91,5.49,510.53,potato
23.54,65.16,45.7,24.04,80.7,6.63,719.4,soybean
123.39,73.1,143.41,21.37,76.52,5.6,490.7,potato
21.34,32.01,29.44,5.0,60.84,6.83,353.77,chickpea
122.66,57.94,45.33,11.57,55.38,6.93,772.89,wheat
61.2,66.35,82.11,17.93,68.89,6.29,449.67,onion
120.4,55.21,209.42,30.92,80.66,7.11,1205.4,banana
92.03,61.61,90.2,19.9,64.91,6.34,595.81,onion
49.39,38.76,38.99,32.38,61.37,7.09,790.7,mango
134.6,39.0,49.73,29.77,78.35,6.67,1555.34,sugarcane
10.38,63.1,54.17,26.71,58.33,5.78,545.36,groundnut
107.72,59.0,47.75,22.07,62.93,7.08,668.49,wheat
99.25,68.81,47.4,25.61,49.67,6.53,503.04,tomato
111.29,56.26,53.81,17.0,58.54,6.04,541.53,chilli
48.17,52.01,50.0,28.58,64.63,6.15,529.12,soybean
33.03,31.91,47.92,12.45,46.73,6.46,507.14,chickpea
33.39,51.42,44.66,26.05,42.83,6.42,441.39,chickpea
124.6,95.51,157.61,20.26,75.33,5.77,564.2,potato
63.31,37.95,40.48,31.01,64.27,6.66,634.53,maize
72.45,36.64,33.56,21.7,60.89,6.39,627.32,maize
104.75,76.04,75.55,21.63,54.01,6.52,641.43,tomato
24.21,52.07,44.23,26.83,69.67,6.67,562.97,soybean
24.13,56.17,56.11,27.63,73.16,6.42,625.43,soybean
161.85,62.4,201.37,26.52,86.64,7.31,1243.77,banana
136.3,59.44,72.59,37.38,78.28,7.16,1447.25,sugarcane
78.52,41.5,32.53,30.68,79.17,5.71,1025.55,rice
57.35,32.24,40.16,37.01,65.48,6.47,863.06,mango
63.74,32.91,36.28,30.33,61.41,7.8,596.44,cotton
81.67,48.21,48.27,30.74,50.58,6.79,563.87,maize
103.31,55.85,40.23,9.97,52.09,6.64,763.37,wheat
42.01,48.47,46.22,28.59,54.6,6.73,502.45,groundnut
74.4,50.6,46.31,28.41,83.23,6.32,1481.69,rice
100.34,61.15,49.95,22.11,74.35,6.99,687.08,chilli
26.2,53.98,47.2,28.14,79.8,6.55,586.58,soybean
73.38,69.27,70.11,27.88,65.38,6.59,555.47,chilli
88.42,33.75,44.18,27.27,54.09,7.11,896.36,cotton
22.94,46.19,61.72,26.61,64.01,6.57,719.07,groundnut
43.93,49.55,32.42,19.31,28.3,6.74,441.05,chickpea
149.48,46.84,46.14,28.97,63.99,7.21,1683.11,sugarcane
80.11,57.95,64.98,29.28,71.01,6.76,640.21,chilli
90.57,26.74,33.0,29.44,63.08,7.61,685.51,cotton
33.75,49.19,41.29,25.77,67.78,6.71,691.02,soybean
121.87,24.2,36.38,31.04,65.91,6.88,581.24,maize
94.52,51.7,50.55,17.55,45.73,7.22,773.1,wheat
138.18,79.29,134.54,22.35,54.3,5.59,407.13,potato
135.85,57.12,63.76,30.22,77.18,7.32,1303.1,sugarcane
108.76,56.82,48.45,19.48,53.57,6.68,751.02,wheat
84.93,61.52,61.45,20.26,59.9,6.34,462.12,onion
25.95,50.2,48.0,23.27,56.23,6.68,571.45,groundnut
28.89,56.19,44.39,22.86,55.41,6.33,376.34,chickpea
128.35,50.53,174.07,24.68,76.14,6.61,1170.01,banana
131.6,65.44,50.95,30.3,56.57,6.85,458.29,chilli
90.85,45.85,38.66,28.22,72.64,6.2,536.49,maize
74.16,37.31,40.55,30.69,61.08,7.17,708.49,cotton
23.11,41.72,44.89,32.09,59.92,6.81,564.85,groundnut
81.06,43.09,51.9,17.23,89.32,6.31,1185.32,rice
16.42,61.49,39.81,25.71,70.86,6.44,510.2,groundnut
124.63,63.96,58.28,23.1,53.98,6.34,578.95,tomato
96.76,52.55,27.68,28.79,65.28,7.05,570.61,maize
122.1,90.83,123.1,23.39,86.32,6.14,504.73,potato
31.26,61.59,52.75,28.22,72.74,6.56,617.49,soybean
47.08,38.79,40.84,31.11,67.36,6.83,934.04,mango
26.95,59.55,54.78,25.6,67.33,6.71,585.79,soybean
97.11,59.2,77.84,23.33,64.47,6.43,633.07,tomato
145.36,47.63,202.8,30.22,81.3,6.42,1268.3,banana
62.22,37.2,41.64,27.05,71.99,5.97,892.74,mango
67.48,47.73,48.04,26.71,66.22,6.05,1687.35,rice
141.52,88.35,130.92,20.91,63.43,5.88,494.58,potato
29.73,47.87,43.96,23.02,32.55,6.78,521.8,chickpea
104.71,59.88,77.39,22.06,63.22,6.78,733.49,onion
80.07,40.05,46.87,30.29,85.58,5.87,1169.33,rice
27.95,51.93,49.88,27.05,70.01,6.47,638.21,soybean
79.94,50.02,35.68,26.85,86.85,6.21,1541.21,rice
88.21,36.73,42.63,25.65,61.85,5.55,665.28,maize
29.08,48.86,60.14,26.32,61.6,6.21,743.98,soybean
15.81,48.94,53.28,14.33,45.6,7.58,431.61,chickpea
37.4,46.69,46.7,23.69,42.76,7.27,382.22,chickpea
120.84,55.8,67.47,23.05,96.25,6.76,1521.3,sugarcane
7.5,65.69,44.13,16.16,36.57,6.56,435.84,chickpea
101.16,43.13,47.61,12.32,51.73,6.65,693.04,wheat
113.06,54.5,37.76,30.52,80.33,7.38,1470.9,sugarcane
74.91,44.81,31.44,25.55,79.94,5.87,1630.47,rice
68.97,28.85,44.93,39.1,82.46,6.21,1616.37,rice
120.97,52.68,176.52,21.81,92.31,6.53,1140.47,banana
154.94,56.94,196.13,23.13,71.17,6.45,1303.36,banana
85.81,71.43,51.38,26.58,66.78,6.21,649.59,tomato
97.58,39.86,43.41,20.47,54.08,6.58,684.06,wheat
25.58,43.69,63.06,26.97,62.27,6.64,642.7,groundnut
40.98,59.16,55.78,27.0,68.63,6.12,630.34,soybean
98.53,50.72,62.58,25.75,68.65,6.51,732.08,onion
19.74,54.42,49.59,26.05,54.45,6.42,568.9,groundnut
129.65,53.38,48.36,23.63,64.84,6.34,674.63,wheat
87.82,41.43,35.63,30.38,54.67,5.94,657.61,cotton
32.91,70.38,44.62,25.96,82.22,6.35,660.89,soybean
24.64,44.96,48.37,23.22,63.6,6.54,535.01,soybean
36.07,44.91,34.11,23.92,73.32,6.56,714.3,soybean
41.92,40.57,51.73,30.22,63.1,5.77,1044.19,mango
74.4,50.24,46.56,23.9,63.19,7.23,606.6,maize
113.87,45.69,44.59,16.92,40.69,6.43,658.64,wheat
84.09,62.76,68.75,31.18,71.07,6.72,1354.92,turmeric
117.0,57.62,90.0,32.13,94.6,6.96,1405.52,sugarcane
35.55,61.14,48.38,22.51,53.15,6.11,373.91,chickpea
76.61,30.65,30.6,29.52,58.33,6.16,747.8,cotton
96.32,41.03,70.43,25.45,68.72,6.05,1169.92,turmeric
96.79,38.63,35.3,35.52,59.3,7.58,659.88,cotton
18.53,52.7,50.24,26.47,60.2,7.0,538.28,groundnut
37.57,42.81,35.69,16.34,26.84,6.8,446.74,chickpea
104.55,87.52,70.59,20.7,71.72,6.1,375.0,tomato
133.97,60.14,165.49,29.39,78.83,6.62,1275.05,banana
92.06,58.18,54.35,26.32,74.97,6.46,584.41,chilli
145.5,55.14,162.15,21.09,78.53,6.89,1176.78,banana
40.07,45.03,43.98,25.69,66.07,6.81,507.03,groundnut
142.44,69.34,117.34,17.48,89.34,5.99,470.22,potato
107.85,85.7,76.69,21.58,56.53,6.29,544.62,tomato
134.93,62.63,55.37,33.84,84.44,7.16,1400.98,sugarcane
39.23,55.78,60.22,27.05,71.77,6.3,697.05,soybean
142.22,52.71,60.5,30.84,66.51,6.96,1281.41,sugarcane
84.67,64.5,68.11,27.07,72.41,7.05,1362.79,turmeric
21.73,56.86,41.01,23.23,69.71,5.89,773.18,soybean
56.97,36.65,52.1,24.94,56.5,7.41,1037.3,mango
69.93,68.63,73.73,23.98,72.76,6.19,574.82,onion
86.51,56.73,70.01,15.43,65.15,6.48,729.7,onion
25.91,49.92,60.53,31.77,64.12,5.84,622.3,groundnut
85.73,29.83,35.5,32.87,62.39,6.99,889.61,cotton
133.56,90.95,123.12,19.17,62.77,6.16,544.64,potato
130.29,91.86,107.02,20.32,68.86,6.36,471.51,potato
107.42,56.19,54.02,23.07,74.5,6.57,696.24,chilli
41.31,46.93,44.43,19.49,35.33,7.03,345.27,chickpea
138.21,46.54,72.64,35.44,72.98,6.82,1596.34,sugarcane
109.28,44.57,38.38,26.66,73.78,5.67,611.53,maize
133.64,80.18,114.8,17.64,76.67,5.44,411.15,potato
90.38,47.34,68.64,29.1,78.0,6.61,624.56,chilli
97.47,52.01,82.88,27.48,73.29,6.8,659.76,chilli
67.83,55.68,73.88,19.47,79.91,6.19,672.54,onion
87.15,50.39,45.24,28.58,86.71,6.15,1529.19,rice
130.32,51.78,60.8,29.55,71.53,6.6,1511.61,sugarcane
81.23,28.22,45.49,27.79,58.55,7.45,742.23,cotton
79.92,56.1,42.98,24.84,92.02,6.13,1392.55,rice
144.36,77.33,113.85,21.82,74.85,5.63,481.98,potato
78.36,36.29,44.06,25.86,65.97,7.0,682.28,cotton
27.46,57.19,50.29,26.55,62.01,6.96,719.49,soybean
81.74,39.41,79.0,35.18,63.87,5.79,1270.92,turmeric
120.86,89.15,156.38,22.79,72.33,6.22,585.65,potato
119.65,65.99,70.93,31.35,74.7,6.42,1411.32,sugarcane
84.97,30.83,29.63,24.48,54.58,7.18,620.43,cotton
92.64,35.63,35.84,25.12,67.01,5.94,649.81,maize
35.89,46.38,53.95,25.8,62.62,6.67,605.72,soybean
98.47,37.39,35.41,29.98,62.04,7.52,829.15,cotton
98.09,65.17,84.32,23.12,54.2,6.1,765.51,tomato
122.98,56.38,64.9,18.28,67.17,6.36,632.31,tomato
70.01,41.21,47.75,30.82,81.01,5.91,1521.65,rice
77.54,42.95,25.64,28.27,81.06,6.17,1969.79,rice
94.35,50.04,61.73,31.66,61.86,6.65,674.07,chilli
33.17,35.24,49.44,27.87,58.93,6.38,566.22,groundnut
23.64,53.48,49.44,26.36,61.88,6.35,526.03,soybean
28.14,44.69,47.01,26.82,66.57,6.3,633.24,soybean
36.7,61.12,49.08,26.04,60.68,6.31,717.16,soybean
88.43,54.28,65.82,21.24,76.8,6.87,1133.29,turmeric
93.32,64.68,74.17,22.89,59.44,6.68,713.51,tomato
110.3,55.1,46.52,26.02,65.24,6.94,620.76,maize
30.51,53.23,37.4,15.61,57.65,7.65,407.16,chickpea
48.19,29.22,54.0,27.1,66.71,6.73,893.02,mango
120.03,72.1,72.06,24.98,58.3,6.26,706.91,tomato
32.52,49.61,43.65,27.63,68.43,6.32,651.32,soybean
99.13,37.69,47.13,26.16,56.74,7.41,537.7,cotton
77.64,53.93,36.58,17.23,54.5,6.38,502.31,maize
90.96,54.24,78.68,22.46,72.43,6.52,734.01,onion
71.23,57.18,65.44,23.93,80.53,6.92,1219.3,turmeric
139.42,49.33,183.64,26.3,74.02,6.54,1075.9,banana
92.99,33.07,34.78,22.83,42.82,6.45,542.97,cotton
41.5,61.48,46.35,17.42,40.41,6.45,447.46,chickpea
99.98,57.19,41.33,9.11,39.09,6.52,745.77,wheat
98.18,43.9,44.8,24.5,50.83,6.45,833.45,cotton
120.33,81.9,79.37,24.98,52.76,6.3,661.46,tomato
80.59,74.29,65.28,27.88,67.32,5.93,630.1,chilli
137.29,70.8,68.88,28.6,77.52,6.55,1357.5,sugarcane
23.87,50.44,50.64,27.65,73.54,6.47,675.34,groundnut
30.45,36.39,46.8,27.78,65.7,6.65,629.81,groundnut
41.34,66.56,40.94,24.99,45.32,6.36,473.84,chickpea
76.0,37.52,41.8,23.45,58.6,6.18,618.68,maize
101.56,63.48,69.02,24.2,82.46,5.93,1124.42,turmeric
87.89,48.81,56.24,23.37,75.05,6.31,687.98,chilli
84.39,41.37,92.28,22.57,73.08,6.85,1280.77,turmeric
92.16,24.72,39.62,23.78,64.44,6.32,625.44,maize
81.66,57.6,53.68,28.2,73.19,6.58,1363.14,turmeric
110.62,73.65,57.96,27.15,68.78,6.13,702.44,tomato
76.54,56.7,38.99,15.43,60.22,7.19,672.75,wheat
123.61,44.29,50.92,31.04,84.21,6.85,1619.98,sugarcane
132.95,59.99,36.72,11.51,52.55,6.67,749.62,wheat
111.03,42.73,45.91,24.32,76.04,6.49,619.2,maize
121.26,51.88,35.44,15.81,64.43,6.55,735.85,wheat
28.71,44.49,28.0,23.53,43.72,6.81,354.96,chickpea
77.3,65.71,79.08,22.3,58.01,6.32,449.26,tomato
108.5,80.7,41.8,21.86,51.61,6.16,780.35,tomato
175.0,77.77,130.65,18.63,64.49,5.91,501.41,potato
40.38,33.32,50.61,26.37,56.35,6.76,743.21,mango
114.18,53.43,40.55,20.72,59.15,6.65,808.21,wheat
117.27,45.18,58.46,25.1,83.17,6.9,1489.52,sugarcane
105.71,51.48,37.4,14.66,60.19,6.19,513.86,maize
84.11,64.49,64.18,17.69,65.92,7.06,569.71,onion
117.06,62.5,172.46,20.94,79.3,6.94,1021.15,banana
157.04,61.64,196.65,25.59,73.95,6.97,1098.22,banana
38.36,50.56,37.99,26.33,64.08,6.95,672.21,soybean
102.74,47.75,41.4,19.34,54.93,6.87,881.34,wheat
132.1,89.55,131.93,21.37,70.43,6.13,482.19,potato
20.16,54.42,55.41,27.51,68.95,6.78,570.54,soybean
56.32,46.47,49.49,23.76,63.31,6.65,540.08,maize
25.93,63.6,32.95,18.82,35.88,6.24,477.37,chickpea
26.85,48.36,50.51,28.78,65.15,6.46,604.17,groundnut
82.8,52.9,38.26,25.88,63.38,6.58,630.12,chilli
128.45,68.86,70.72,26.87,76.21,6.71,665.79,tomato
121.88,50.72,47.83,12.89,65.89,6.76,640.36,wheat
138.87,62.39,231.19,34.6,76.96,6.56,1066.06,banana
97.19,53.17,71.9,27.49,72.34,6.27,1291.12,turmeric
46.62,26.67,46.48,35.7,63.1,6.64,866.67,mango
27.49,46.5,38.21,26.23,69.53,6.21,594.06,soybean
44.44,37.62,59.56,25.26,44.78,6.37,1015.2,mango
101.69,62.87,64.82,27.46,62.44,6.52,625.24,chilli
46.23,50.94,46.07,28.29,66.36,6.51,628.87,soybean
146.66,47.81,172.32,27.36,82.37,6.34,1385.19,banana
61.95,32.79,42.8,29.6,76.85,6.16,1267.7,rice
87.21,52.9,60.74,21.41,65.57,6.48,561.32,onion
113.42,71.14,52.91,26.42,65.0,6.45,719.74,chilli
30.2,40.79,50.33,30.14,73.39,6.42,475.51,groundnut
71.46,45.21,75.82,29.94,74.49,7.22,1203.87,turmeric
89.91,61.41,71.45,25.54,77.0,6.46,613.26,chilli
84.92,55.28,71.31,21.89,71.17,6.36,580.85,onion
28.44,42.27,33.23,30.73,51.81,7.25,900.84,mango
71.49,55.18,79.36,27.87,75.26,7.13,1316.11,turmeric
42.91,65.66,41.47,27.83,69.95,6.34,634.11,soybean
136.17,62.89,157.05,24.14,90.54,6.59,981.77,banana
108.09,37.97,28.92,29.13,70.49,7.13,625.04,maize
77.34,31.92,38.48,25.98,76.17,5.86,647.17,maize
38.9,41.65,51.7,26.68,69.02,6.65,609.09,groundnut
135.0,43.06,40.69,22.73,67.21,6.38,549.34,maize
27.09,48.42,47.53,26.74,62.96,6.49,599.2,soybean
136.57,54.99,58.47,31.17,74.92,6.43,1591.49,sugarcane
76.57,42.21,33.7,25.19,75.56,6.44,1787.14,rice
107.21,65.46,81.05,22.04,68.06,6.62,642.51,tomato
136.73,47.02,166.3,29.53,79.41,6.19,989.04,banana
125.29,46.4,170.59,27.32,74.71,6.78,1233.85,banana
42.27,36.14,57.38,31.19,48.01,6.04,838.21,mango
87.92,44.78,41.41,27.41,70.14,5.82,905.21,cotton
86.27,47.95,39.0,9.86,55.36,6.66,532.71,wheat
103.59,56.18,64.74,27.47,82.66,6.4,1324.7,turmeric
91.81,30.66,36.62,26.83,61.92,6.44,825.19,cotton
110.74,60.77,38.7,18.86,57.33,6.04,901.53,wheat
86.0,45.87,43.5,14.15,58.85,6.76,503.15,wheat
85.41,37.63,31.66,28.27,70.48,7.22,703.11,cotton
122.07,80.19,124.59,14.62,64.89,5.69,491.36,potato
77.11,47.42,37.33,30.71,92.08,5.97,1680.34,rice
53.99,22.07,52.5,34.3,59.53,6.57,1054.42,mango
28.66,57.2,37.26,12.63,43.77,6.43,424.59,chickpea
91.98,47.5,78.6,17.59,68.65,6.3,655.58,onion
74.56,39.6,34.11,25.56,59.44,7.17,556.36,cotton
117.56,57.18,39.33,15.57,46.01,7.42,701.35,wheat
149.17,53.23,163.2,24.34,77.14,7.03,1039.89,banana
159.24,58.9,167.51,23.89,76.95,6.84,996.71,banana
91.32,35.21,35.06,34.89,67.05,6.62,757.09,cotton
111.01,43.96,177.09,28.8,87.99,6.16,1331.59,banana
78.41,44.8,36.67,26.62,76.97,5.96,1942.34,rice
107.05,54.68,70.16,22.81,65.7,6.42,558.8,tomato
125.47,83.76,99.62,21.13,79.35,5.08,518.58,potato
100.56,53.04,98.88,19.81,72.68,6.98,660.45,onion
82.34,25.85,36.45,23.86,67.93,6.42,554.98,maize
132.0,60.07,52.03,26.94,79.68,6.88,1576.14,sugarcane
44.38,30.03,35.17,27.2,60.01,7.21,841.61,mango
133.51,45.92,170.75,31.59,71.53,6.8,1265.46,banana
124.12,56.44,54.68,21.34,50.1,6.76,695.26,wheat
83.41,64.3,70.67,27.49,89.36,5.82,1151.38,turmeric
130.49,68.8,111.21,20.92,78.42,5.68,582.45,potato
93.39,49.91,86.12,16.96,70.51,6.49,546.17,onion
133.48,75.35,129.92,24.05,73.76,5.2,350.0,potato
131.35,50.6,64.32,23.56,57.0,6.24,635.62,tomato
104.85,82.01,58.67,26.46,68.3,6.37,685.44,tomato
119.87,54.48,35.08,21.47,50.58,6.4,682.21,wheat
42.83,58.2,59.82,28.17,78.15,6.23,694.49,soybean
94.71,58.77,63.6,30.54,69.48,5.39,1054.71,turmeric
121.71,49.21,66.53,24.18,85.83,7.03,1503.08,sugarcane
72.44,46.52,27.77,25.14,54.33,6.73,517.23,maize
126.35,72.81,138.19,20.2,66.23,6.07,452.09,potato
129.14,58.42,210.44,30.28,90.21,6.63,1172.12,banana
79.51,50.06,35.48,30.13,83.54,6.12,1657.83,rice
21.45,40.18,43.19,27.87,65.75,6.65,488.35,groundnut
81.08,50.01,69.29,22.78,65.39,6.65,566.63,onion
135.08,74.42,111.21,22.09,80.27,6.01,506.56,potato
51.85,42.18,53.82,28.43,49.44,6.41,905.81,mango
7.5,58.68,49.45,25.23,56.21,6.26,549.0,groundnut
79.26,41.14,38.87,27.42,59.91,6.51,550.28,cotton
38.66,54.08,60.38,23.88,79.99,6.26,688.81,soybean
95.3,53.77,85.15,28.97,78.95,6.7,1128.06,turmeric
80.11,57.01,69.29,24.56,78.3,6.58,1543.73,turmeric
74.84,66.63,59.17,28.76,72.42,6.5,875.0,chilli
85.59,82.63,74.5,19.25,62.85,6.61,508.95,tomato
82.44,40.77,34.5,32.21,86.56,5.98,1969.33,rice
120.59,63.24,44.83,25.6,64.79,6.33,684.36,tomato
33.18,58.43,54.78,24.03,59.61,6.8,660.19,soybean
30.01,55.19,60.15,30.69,60.66,6.25,576.09,groundnut
83.51,43.22,72.55,28.07,58.07,6.44,648.77,onion
97.9,55.03,55.74,22.91,66.28,6.74,648.82,chilli
29.23,46.11,33.32,23.28,55.19,7.15,430.31,chickpea
100.43,48.88,35.84,25.47,64.99,7.47,577.71,wheat
102.73,63.58,52.29,21.42,65.28,6.82,589.05,chilli
95.02,45.56,52.68,22.63,71.85,5.99,1676.81,rice
88.52,41.8,41.31,32.97,45.38,7.33,798.37,cotton
87.91,55.01,90.04,10.64,61.76,6.64,653.78,onion
86.03,59.48,49.79,24.4,80.74,5.69,1318.67,turmeric
92.16,58.98,64.25,27.97,62.91,7.0,1461.74,turmeric
113.09,73.36,45.96,33.27,80.2,6.31,1481.35,sugarcane
46.6,51.54,51.12,26.16,56.66,6.84,740.52,groundnut
118.31,73.82,130.94,22.25,80.47,5.68,523.16,potato
36.02,50.76,56.33,17.81,38.25,6.91,366.25,chickpea
103.9,50.99,44.34,11.89,64.61,6.5,772.19,wheat
94.89,59.09,73.82,18.06,72.47,6.7,637.1,onion
65.61,51.34,29.08,26.87,59.76,7.96,567.52,cotton
94.21,40.72,37.3,30.5,79.05,6.16,1640.58,rice
36.97,54.04,44.73,21.29,67.47,6.51,552.27,soybean
40.73,48.23,51.17,29.46,54.19,6.6,537.91,groundnut
122.54,80.74,106.56,18.94,73.05,6.2,484.37,potato
47.36,28.14,45.35,28.61,47.69,6.4,816.33,mango
27.32,44.62,50.1,25.6,63.13,6.13,583.95,groundnut
84.05,47.11,33.39,25.92,63.59,6.71,715.25,cotton
129.36,52.02,35.61,18.8,55.65,6.88,719.16,wheat
137.97,60.71,63.31,26.64,65.83,6.54,667.25,tomato
128.56,57.85,36.45,16.34,50.39,6.48,797.89,wheat
69.82,38.54,46.11,28.57,62.28,6.93,596.33,maize
160.01,59.56,187.1,26.17,92.02,7.56,1207.61,banana
92.16,41.57,36.76,23.95,54.88,7.58,651.54,cotton
93.82,59.32,86.52,29.62,68.33,6.63,507.67,chilli
25.12,51.61,43.73,28.82,55.49,6.66,553.08,soybean
90.16,61.29,81.27,18.57,64.77,6.56,653.66,onion
31.85,49.59,30.27,24.35,50.58,6.5,435.37,chickpea
133.29,72.3,205.86,30.24,84.5,6.75,1136.67,banana
